path,id,model1_infected,model1_class,model1_probs,model2_infected,model2_class,model2_probs,model3_infected,model3_class,model3_probs
1,407,1.0,1,"[1.0149637430947892e-18, 1.0]",1.0,1,"[1.506340296941744e-08, 1.0]",1.0,1,"[2.075272679397111e-12, 1.0]"
1,408,0.9999996423721313,1,"[3.382865827461501e-07, 0.9999996423721313]",1.0,1,"[1.1067525784724808e-09, 1.0]",0.999984860420227,1,"[1.5164988326432649e-05, 0.999984860420227]"
1,409,1.0,1,"[4.384688021378955e-16, 1.0]",0.9999998807907104,1,"[8.107243587573976e-08, 0.9999998807907104]",1.0,1,"[1.201515883314519e-12, 1.0]"
1,410,0.9999996423721313,1,"[3.0163334940880304e-07, 0.9999996423721313]",1.0,1,"[4.895110467147135e-13, 1.0]",0.9999669790267944,1,"[3.296201248303987e-05, 0.9999669790267944]"
1,501,1.0,1,"[1.9725045822167531e-19, 1.0]",1.0,1,"[4.7460456897852055e-08, 1.0]",1.0,1,"[8.583898565908687e-13, 1.0]"
1,502,0.9999998807907104,1,"[6.088674808779615e-08, 0.9999998807907104]",1.0,1,"[1.2406400776501791e-12, 1.0]",0.9999880790710449,1,"[1.1962987628066912e-05, 0.9999880790710449]"
1,503,1.0,1,"[7.265102554927447e-14, 1.0]",1.0,1,"[8.994064160106063e-09, 1.0]",1.0,1,"[7.800072809871494e-10, 1.0]"
1,504,0.9999998807907104,1,"[6.554822107318614e-08, 0.9999998807907104]",1.0,1,"[4.0168584604372004e-13, 1.0]",0.9999878406524658,1,"[1.2132129995734431e-05, 0.9999878406524658]"
1,505,1.0,1,"[5.833702519686558e-17, 1.0]",0.9995934367179871,1,"[0.00040661863749846816, 0.9995934367179871]",1.0,1,"[3.986057144078625e-12, 1.0]"
1,506,0.9999998807907104,1,"[6.282405706770078e-08, 0.9999998807907104]",1.0,1,"[7.323480743278571e-14, 1.0]",1.0,1,"[1.9712219412326704e-08, 1.0]"
1,507,1.0,1,"[8.331563114112941e-14, 1.0]",1.0,1,"[1.0884709134018067e-08, 1.0]",1.0,1,"[8.717056243501276e-11, 1.0]"
1,508,0.9999988079071045,1,"[1.2035936833854066e-06, 0.9999988079071045]",1.0,1,"[3.487749639877885e-14, 1.0]",1.0,1,"[3.92407040195053e-09, 1.0]"
1,509,1.0,1,"[4.358294866495249e-14, 1.0]",0.99940025806427,1,"[0.0005996846593916416, 0.99940025806427]",0.9999998807907104,1,"[9.159223424148877e-08, 0.9999998807907104]"
1,510,1.0,1,"[1.4573595663591732e-09, 1.0]",1.0,1,"[1.1265307263419455e-11, 1.0]",0.9999799728393555,1,"[1.9996470655314624e-05, 0.9999799728393555]"
2,101,0.9990209341049194,1,"[0.0009790704352781177, 0.9990209341049194]",1.0,1,"[3.919651062056495e-12, 1.0]",0.0013767264317721128,0,"[0.998623251914978, 0.0013767264317721128]"
2,102,0.35951709747314453,0,"[0.6404829025268555, 0.35951709747314453]",3.365592419868335e-05,0,"[0.9999663829803467, 3.365592419868335e-05]",0.00013929189299233258,0,"[0.9998606443405151, 0.00013929189299233258]"
2,103,0.7212783098220825,1,"[0.27872174978256226, 0.7212783098220825]",0.9999973773956299,1,"[2.573966412455775e-06, 0.9999973773956299]",0.001159163424745202,0,"[0.998840868473053, 0.001159163424745202]"
2,104,0.9984380602836609,1,"[0.0015619931509718299, 0.9984380602836609]",0.007167069241404533,0,"[0.9928328990936279, 0.007167069241404533]",0.0021429185289889574,0,"[0.9978570342063904, 0.0021429185289889574]"
2,105,0.9980316758155823,1,"[0.0019683027639985085, 0.9980316758155823]",1.0,1,"[3.026551925744414e-11, 1.0]",2.180588671762962e-05,0,"[0.9999781847000122, 2.180588671762962e-05]"
2,106,0.3491255044937134,0,"[0.6508744359016418, 0.3491255044937134]",0.0035292175598442554,0,"[0.9964708089828491, 0.0035292175598442554]",0.0006790306069888175,0,"[0.9993209838867188, 0.0006790306069888175]"
2,107,0.9949446320533752,1,"[0.005055343732237816, 0.9949446320533752]",1.0,1,"[3.893419806932745e-14, 1.0]",3.868998464895412e-05,0,"[0.999961256980896, 3.868998464895412e-05]"
2,108,0.000809909775853157,0,"[0.9991900324821472, 0.000809909775853157]",3.572963396436535e-05,0,"[0.9999642372131348, 3.572963396436535e-05]",0.0005096114473417401,0,"[0.9994903802871704, 0.0005096114473417401]"
2,109,0.0018656833562999964,0,"[0.9981343150138855, 0.0018656833562999964]",0.999996542930603,1,"[3.4821148346964037e-06, 0.999996542930603]",7.198287903520395e-07,0,"[0.9999992847442627, 7.198287903520395e-07]"
2,110,0.9812398552894592,1,"[0.01876012608408928, 0.9812398552894592]",0.0930664911866188,0,"[0.9069334864616394, 0.0930664911866188]",3.466831913101487e-05,0,"[0.9999653100967407, 3.466831913101487e-05]"
2,201,0.999538779258728,1,"[0.00046121375635266304, 0.999538779258728]",1.0,1,"[6.677093773721499e-13, 1.0]",0.0003159760090056807,0,"[0.9996840953826904, 0.0003159760090056807]"
2,202,0.999749481678009,1,"[0.00025054291472770274, 0.999749481678009]",0.8969946503639221,1,"[0.10300537198781967, 0.8969946503639221]",0.0010588241275399923,0,"[0.9989412426948547, 0.0010588241275399923]"
2,203,0.9994450211524963,1,"[0.0005549091147258878, 0.9994450211524963]",1.0,1,"[2.728459402856487e-10, 1.0]",2.05524884222541e-05,0,"[0.9999794960021973, 2.05524884222541e-05]"
2,204,0.9920997023582458,1,"[0.007900253869593143, 0.9920997023582458]",0.9653959274291992,1,"[0.03460406884551048, 0.9653959274291992]",3.494520115054911e-06,0,"[0.999996542930603, 3.494520115054911e-06]"
